0 |[(21, 1), (22, 1), (23, 1), (25, 1), (26, 1), (28, 1), (31, 1), (33, 1), (35, 1), (36, 1)]|
base |[(20, 1), (23, 1), (29, 1), (32, 1), (33, 1), (34, 1), (35, 1)]|
baselin |[(33, 1)]|
basic |[(24, 1)]|
batch |[(33, 1)]|
baun |[(19, 1)]|
baxter |[(33, 1)]|
bayesian |[(33, 1)]|
be |[(19, 1), (24, 1), (32, 1), (33, 1)]|
becaus |[(23, 1)]|
becom |[(20, 1)]|
been |[(19, 1), (20, 1), (33, 1)]|
befor |[(33, 1)]|
begin |[(20, 1)]|
behaviour |[(27, 1)]|
bell |[(19, 1)]|
belong |[(24, 1), (34, 1)]|
below |[(20, 1), (33, 1)]|
benchmark |[(19, 1), (33, 1)]|
benign |[(33, 1)]|
bennett |[(33, 1)]|
berkeley |[(21, 1)]|
bernard |[(33, 1)]|
best |[(33, 1)]|
better |[(33, 1)]|
betul |[(24, 1)]|
between |[(20, 1), (32, 1), (33, 1)]|
bhattacharya |[(19, 1)]|
bias |[(23, 1)]|
bibliographi |[(30, 1)]|
bibsourc |[(30, 1)]|
biburl |[(30, 1)]|
bike |[(19, 1)]|
binari |[(29, 1), (33, 1), (35, 1)]|
binderberg |[(32, 1)]|
bio |[(33, 1)]|
biomed |[(24, 1)]|
birmingham |[(33, 1)]|
bit |[(20, 1)]|
blackard |[(33, 1)]|
blank |[(27, 1), (30, 1)]|
bld |[(33, 1)]|
blink |[(24, 1)]|
blue |[(33, 1)]|
blunck |[(19, 1)]|
bodyshap |[(33, 1)]|
book |[(29, 1)]|
bookmark |[(29, 1)]|
booktitl |[(30, 1)]|
boolean |[(32, 1), (33, 1)]|
boost |[(33, 1)]|
boro |[(33, 1)]|
boston |[(23, 1)]|
both |[(29, 1)]|
bound |[(33, 1)]|
bp |[(33, 1)]|
br |[(20, 1)]|
bradley |[(33, 1)]|
brandon |[(21, 1)]|
brandon1 |[(21, 1)]|
breast |[(33, 1)]|
bredenstein |[(33, 1)]|
broadcast |[(20, 1)]|
brown |[(33, 1)]|
brows |[(23, 1)]|
bs90 |[(33, 1)]|
buffer |[(20, 1)]|
burbidg |[(33, 1)]|
burk |[(23, 1)]|
busi |[(20, 1)]|
but |[(19, 1), (23, 1), (24, 1), (32, 1), (33, 1)]|
buxton |[(33, 1)]|
by |[(19, 1), (20, 1), (21, 1), (23, 1), (24, 1), (27, 1), (29, 1), (30, 1), (32, 1), (33, 1), (34, 1), (35, 1)]|
bz2 |[(34, 1)]|
c |[(21, 1), (23, 1), (24, 1), (29, 1), (33, 1), (34, 1)]|
c15 |[(34, 1)]|
c4 |[(33, 1)]|
ca |[(23, 1), (32, 1), (34, 1)]|
caci |[(20, 1)]|
calcul |[(20, 1)]|
california |[(23, 1), (32, 1), (33, 1)]|
call |[(24, 1)]|
campbel |[(33, 1)]|
can |[(19, 1), (20, 1), (23, 1), (24, 1), (32, 1), (33, 1)]|
canada |[(34, 1)]|
cancer |[(33, 1)]|
cannon |[(33, 1)]|
care |[(27, 1)]|
carey |[(33, 1)]|
carnegi |[(19, 1)]|
carri |[(19, 1)]|
case |[(23, 1), (24, 1), (33, 1)]|
categor |[(23, 1), (34, 1)]|
categori |[(32, 1), (33, 1), (34, 1)]|
caus |[(21, 1)]|
ccat |[(34, 1)]|
ccsm4 |[(21, 1)]|
cefet |[(33, 1)]|
cell |[(33, 1)]|
center |[(19, 1), (20, 1), (21, 1), (23, 1), (24, 1), (27, 1), (29, 1), (30, 1), (32, 1), (33, 1), (34, 1), (35, 1)]|
cento |[(22, 1), (25, 1), (26, 1), (28, 1), (31, 1), (36, 1)]|
centr |[(33, 1)]|
cerrahpasa |[(24, 1)]|
certain |[(24, 1)]|
chakrabarti |[(32, 1)]|
challeng |[(23, 1)]|
chang |[(23, 1), (24, 1)]|
channel |[(20, 1)]|
chapter |[(33, 1)]|
charact |[(23, 1)]|
character |[(33, 1)]|
characterist |[(19, 1), (20, 1), (21, 1), (23, 1), (24, 1), (27, 1), (29, 1), (30, 1), (32, 1), (34, 1), (35, 1)]|
charl |[(33, 1)]|
cheaper |[(23, 1)]|
chicago |[(23, 1)]|
children |[(27, 1)]|
chose |[(29, 1), (33, 1)]|
chosen |[(33, 1)]|
chotirat |[(33, 1)]|
chun |[(33, 1)]|
cigdem |[(20, 1)]|
cikm |[(29, 1)]|
cintiq |[(24, 1)]|
citat |[(19, 1), (20, 1), (21, 1), (23, 1), (24, 1), (27, 1), (29, 1), (30, 1), (32, 1), (33, 1), (34, 1), (35, 1)]|
cite |[(21, 1), (23, 1), (24, 1), (29, 1), (32, 1), (33, 1), (34, 1), (35, 1)]|
citi |[(23, 1), (27, 1)]|
class |[(19, 1), (29, 1), (33, 1), (34, 1), (35, 1)]|
classif |[(19, 1), (20, 1), (21, 1), (24, 1), (27, 1), (29, 1), (30, 1), (33, 1), (34, 1), (35, 1)]|
classifi |[(33, 1)]|
cleveland |[(33, 1)]|
client |[(20, 1)]|
clientâ |[(20, 1)]|
climat |[(21, 1)]|
clinic |[(24, 1)]|
clock |[(20, 1)]|
closer |[(23, 1)]|
cloud |[(29, 1)]|
clump |[(33, 1)]|
cluster |[(19, 1), (24, 1), (29, 1), (33, 1), (34, 1)]|
cml |[(19, 1), (20, 1), (21, 1), (23, 1), (24, 1), (27, 1), (29, 1), (30, 1), (32, 1), (33, 1), (34, 1), (35, 1)]|
cmu |[(19, 1)]|
co |[(32, 1), (34, 1)]|
coars |[(33, 1)]|
code |[(21, 1), (29, 1), (33, 1)]|
collabor |[(19, 1), (20, 1), (21, 1), (23, 1), (24, 1), (27, 1), (29, 1), (30, 1), (32, 1), (33, 1), (34, 1), (35, 1)]|
collect |[(24, 1), (29, 1), (30, 1), (32, 1), (33, 1), (34, 1)]|
colleg |[(32, 1)]|
coloni |[(33, 1)]|
color |[(32, 1)]|
colorado |[(33, 1)]|
colorhistogram |[(32, 1)]|
colormo |[(32, 1)]|
column |[(19, 1), (21, 1), (33, 1)]|
com |[(19, 1), (27, 1), (29, 1)]|
combin |[(21, 1), (33, 1)]|
commerci |[(32, 1)]|
common |[(29, 1), (34, 1)]|
commonli |[(19, 1)]|
commun |[(20, 1), (21, 1), (33, 1)]|
commviolpredunnormalizeddata |[(26, 1)]|
compar |[(33, 1)]|
comparison |[(33, 1)]|
compens |[(33, 1), (35, 1)]|
competit |[(33, 1)]|
compil |[(33, 1)]|
complex |[(33, 1)]|
compon |[(21, 1), (33, 1)]|
composit |[(33, 1)]|
compris |[(19, 1)]|
comput |[(19, 1), (20, 1), (23, 1), (24, 1), (29, 1), (30, 1), (32, 1), (33, 1), (35, 1)]|
concaten |[(33, 1)]|
